set,birdName,filename,height,width,format,mode
test,ABBOTTS BABBLER,1.jpg,224,224,JPEG,RGB
test,ABBOTTS BABBLER,2.jpg,224,224,JPEG,RGB
test,ABBOTTS BABBLER,3.jpg,224,224,JPEG,RGB
test,ABBOTTS BABBLER,4.jpg,224,224,JPEG,RGB
test,ABBOTTS BABBLER,5.jpg,224,224,JPEG,RGB
test,ABBOTTS BOOBY,1.jpg,224,224,JPEG,RGB
test,ABBOTTS BOOBY,2.jpg,224,224,JPEG,RGB
test,ABBOTTS BOOBY,3.jpg,224,224,JPEG,RGB
test,ABBOTTS BOOBY,4.jpg,224,224,JPEG,RGB
test,ABBOTTS BOOBY,5.jpg,224,224,JPEG,RGB
test,ABYSSINIAN GROUND HORNBILL,1.jpg,224,224,JPEG,RGB
test,ABYSSINIAN GROUND HORNBILL,2.jpg,224,224,JPEG,RGB
test,ABYSSINIAN GROUND HORNBILL,3.jpg,224,224,JPEG,RGB
test,ABYSSINIAN GROUND HORNBILL,4.jpg,224,224,JPEG,RGB
test,ABYSSINIAN GROUND HORNBILL,5.jpg,224,224,JPEG,RGB
test,AFRICAN CROWNED CRANE,1.jpg,224,224,JPEG,RGB
test,AFRICAN CROWNED CRANE,2.jpg,224,224,JPEG,RGB
test,AFRICAN CROWNED CRANE,3.jpg,224,224,JPEG,RGB
test,AFRICAN CROWNED CRANE,4.jpg,224,224,JPEG,RGB
test,AFRICAN CROWNED CRANE,5.jpg,224,224,JPEG,RGB
test,AFRICAN EMERALD CUCKOO,1.jpg,224,224,JPEG,RGB
test,AFRICAN EMERALD CUCKOO,2.jpg,224,224,JPEG,RGB
test,AFRICAN EMERALD CUCKOO,3.jpg,224,224,JPEG,RGB
test,AFRICAN EMERALD CUCKOO,4.jpg,224,224,JPEG,RGB
test,AFRICAN EMERALD CUCKOO,5.jpg,224,224,JPEG,RGB
test,AFRICAN FIREFINCH,1.jpg,224,224,JPEG,RGB
test,AFRICAN FIREFINCH,2.jpg,224,224,JPEG,RGB
test,AFRICAN FIREFINCH,3.jpg,224,224,JPEG,RGB
test,AFRICAN FIREFINCH,4.jpg,224,224,JPEG,RGB
test,AFRICAN FIREFINCH,5.jpg,224,224,JPEG,RGB
test,AFRICAN OYSTER CATCHER,1.jpg,224,224,JPEG,RGB
test,AFRICAN OYSTER CATCHER,2.jpg,224,224,JPEG,RGB
test,AFRICAN OYSTER CATCHER,3.jpg,224,224,JPEG,RGB
test,AFRICAN OYSTER CATCHER,4.jpg,224,224,JPEG,RGB
test,AFRICAN OYSTER CATCHER,5.jpg,224,224,JPEG,RGB
test,AFRICAN PIED HORNBILL,1.jpg,224,224,JPEG,RGB
test,AFRICAN PIED HORNBILL,2.jpg,224,224,JPEG,RGB
test,AFRICAN PIED HORNBILL,3.jpg,224,224,JPEG,RGB
test,AFRICAN PIED HORNBILL,4.jpg,224,224,JPEG,RGB
test,AFRICAN PIED HORNBILL,5.jpg,224,224,JPEG,RGB
test,AFRICAN PYGMY GOOSE,1.jpg,224,224,JPEG,RGB
test,AFRICAN PYGMY GOOSE,2.jpg,224,224,JPEG,RGB
test,AFRICAN PYGMY GOOSE,3.jpg,224,224,JPEG,RGB
test,AFRICAN PYGMY GOOSE,4.jpg,224,224,JPEG,RGB
test,AFRICAN PYGMY GOOSE,5.jpg,224,224,JPEG,RGB
test,ALBATROSS,1.jpg,224,224,JPEG,RGB
test,ALBATROSS,2.jpg,224,224,JPEG,RGB
test,ALBATROSS,3.jpg,224,224,JPEG,RGB
test,ALBATROSS,4.jpg,224,224,JPEG,RGB
test,ALBATROSS,5.jpg,224,224,JPEG,RGB
test,ALBERTS TOWHEE,1.jpg,224,224,JPEG,RGB
test,ALBERTS TOWHEE,2.jpg,224,224,JPEG,RGB
test,ALBERTS TOWHEE,3.jpg,224,224,JPEG,RGB
test,ALBERTS TOWHEE,4.jpg,224,224,JPEG,RGB
test,ALBERTS TOWHEE,5.jpg,224,224,JPEG,RGB
test,ALEXANDRINE PARAKEET,1.jpg,224,224,JPEG,RGB
test,ALEXANDRINE PARAKEET,2.jpg,224,224,JPEG,RGB
test,ALEXANDRINE PARAKEET,3.jpg,224,224,JPEG,RGB
test,ALEXANDRINE PARAKEET,4.jpg,224,224,JPEG,RGB
test,ALEXANDRINE PARAKEET,5.jpg,224,224,JPEG,RGB
test,ALPINE CHOUGH,1.jpg,224,224,JPEG,RGB
test,ALPINE CHOUGH,2.jpg,224,224,JPEG,RGB
test,ALPINE CHOUGH,3.jpg,224,224,JPEG,RGB
test,ALPINE CHOUGH,4.jpg,224,224,JPEG,RGB
test,ALPINE CHOUGH,5.jpg,224,224,JPEG,RGB
test,ALTAMIRA YELLOWTHROAT,1.jpg,224,224,JPEG,RGB
test,ALTAMIRA YELLOWTHROAT,2.jpg,224,224,JPEG,RGB
test,ALTAMIRA YELLOWTHROAT,3.jpg,224,224,JPEG,RGB
test,ALTAMIRA YELLOWTHROAT,4.jpg,224,224,JPEG,RGB
test,ALTAMIRA YELLOWTHROAT,5.jpg,224,224,JPEG,RGB
test,AMERICAN AVOCET,1.jpg,224,224,JPEG,RGB
test,AMERICAN AVOCET,2.jpg,224,224,JPEG,RGB
test,AMERICAN AVOCET,3.jpg,224,224,JPEG,RGB
test,AMERICAN AVOCET,4.jpg,224,224,JPEG,RGB
test,AMERICAN AVOCET,5.jpg,224,224,JPEG,RGB
test,AMERICAN BITTERN,1.jpg,224,224,JPEG,RGB
test,AMERICAN BITTERN,2.jpg,224,224,JPEG,RGB
test,AMERICAN BITTERN,3.jpg,224,224,JPEG,RGB
test,AMERICAN BITTERN,4.jpg,224,224,JPEG,RGB
test,AMERICAN BITTERN,5.jpg,224,224,JPEG,RGB
test,AMERICAN COOT,1.jpg,224,224,JPEG,RGB
test,AMERICAN COOT,2.jpg,224,224,JPEG,RGB
test,AMERICAN COOT,3.jpg,224,224,JPEG,RGB
test,AMERICAN COOT,4.jpg,224,224,JPEG,RGB
test,AMERICAN COOT,5.jpg,224,224,JPEG,RGB
test,AMERICAN DIPPER,1.jpg,224,224,JPEG,RGB
test,AMERICAN DIPPER,2.jpg,224,224,JPEG,RGB
test,AMERICAN DIPPER,3.jpg,224,224,JPEG,RGB
test,AMERICAN DIPPER,4.jpg,224,224,JPEG,RGB
test,AMERICAN DIPPER,5.jpg,224,224,JPEG,RGB
test,AMERICAN FLAMINGO,1.jpg,224,224,JPEG,RGB
test,AMERICAN FLAMINGO,2.jpg,224,224,JPEG,RGB
test,AMERICAN FLAMINGO,3.jpg,224,224,JPEG,RGB
test,AMERICAN FLAMINGO,4.jpg,224,224,JPEG,RGB
test,AMERICAN FLAMINGO,5.jpg,224,224,JPEG,RGB
test,AMERICAN GOLDFINCH,1.jpg,224,224,JPEG,RGB
test,AMERICAN GOLDFINCH,2.jpg,224,224,JPEG,RGB
test,AMERICAN GOLDFINCH,3.jpg,224,224,JPEG,RGB
test,AMERICAN GOLDFINCH,4.jpg,224,224,JPEG,RGB
test,AMERICAN GOLDFINCH,5.jpg,224,224,JPEG,RGB
test,AMERICAN KESTREL,1.jpg,224,224,JPEG,RGB
test,AMERICAN KESTREL,2.jpg,224,224,JPEG,RGB
test,AMERICAN KESTREL,3.jpg,224,224,JPEG,RGB
